input,output,instruction
"Artificial Surface 75.21
Vegetation 9.73
Markers & Obstacles 6.84
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",a building is surrounded by some green trees and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.95
Vegetation 7.47
Markers & Obstacles 5.49
Artificial Surface behind right Vegetation
Markers & Obstacles behind right Vegetation
",many green trees are around a building with several cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.29
",the spring pool is surrounded by lush trees and houses .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.62
Markers & Obstacles 5.53
Artificial Surface front left Markers & Obstacles
",the spring pool is surrounded by lush trees and houses .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.39
Vegetation 11.88
Artificial Surface behind Vegetation
",many sparsely distributed green trees are around two gray buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 54.07
Water 17.83
Vegetation 25.12
Artificial Surface behind Vegetation
Water front right Vegetation
",a pool with blue water and some little house beside the big house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.43
",green meadows with several scattered green trees are around a building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.54
Vegetation 13.06
Artificial Surface behind left Vegetation
",a house are on the light green ground and two cars are parked at the gate .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.59
",a hot spring pool are on the green hill .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.36
",many green trees are around a building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.53
","two roads pass through the green, trees are on both sides of them .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.19
Building 6.81
Artificial Surface front right Building
",a hot spring pool are on the green hill .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.97
Building 17.40
Artificial Surface behind right Building
",rows of trees were planted around the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.05
Vegetation 6.62
Markers & Obstacles 5.47
Artificial Surface behind right Markers & Obstacles
Vegetation to the left of Artificial Surface
",the house is surrounded by dense forests .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.65
Vegetation 19.40
Artificial Surface behind Vegetation
",a grey roofed house is located in the middle of the forest .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.19
Markers & Obstacles 5.73
Artificial Surface behind right Markers & Obstacles
",there is an outdoor swimming pool around the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.15
",the house is surrounded by a large number of trees and lawns .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.13
Water 10.66
Vegetation 24.75
Artificial Surface to the left of Vegetation
Water behind right Vegetation
",a gray roof structure and a curved open space surrounded by green vegetation .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.91
",a brown roof building and a swimming pool surrounded by lawns and trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.52
",a brown roofed house is located in the middle of the forest .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.31
Natural Surface 6.99
Vegetation 24.32
Building 7.78
Artificial Surface behind Vegetation
Natural Surface behind right Artificial Surface
Building behind left Artificial Surface
",there is a swimming pool next to the grey roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.13
",a large number of trees have been planted around the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.14
Vegetation 18.53
Artificial Surface behind left Vegetation
",a white car parked in front of the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.13
Vegetation 26.15
Artificial Surface behind Vegetation
",the roof of grey house is surrounded by trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.58
",there is a road in front of the white house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 70.79
Building 29.12
Artificial Surface front right Building
",the house of grey roof is surrounded by trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 79.96
Water 8.13
Vegetation 5.77
Artificial Surface behind Vegetation
Water behind right Artificial Surface
",the open-air swimming pool was built next to the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.87
Water 18.85
Vegetation 13.50
Markers & Obstacles 6.58
Artificial Surface to the right of Vegetation
Water behind left Vegetation
Markers & Obstacles front left Vegetation
",there are many tall trees around the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 56.05
Vegetation 43.56
Artificial Surface to the right of Vegetation
",a few buildings gray building located on a neat arrangement of vegetation .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.92
Vegetation 19.97
Artificial Surface behind Vegetation
",there is a square house in the middle of the forest .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.31
",there is a circular building in the southeast of the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.25
Vegetation 15.02
Artificial Surface behind right Vegetation
",a large number of trees were planted around the house with grey roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.80
Vegetation 39.09
Artificial Surface behind left Vegetation
",a yellow roofed house is located in the middle of the meadow .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.52
",a large number of trees were planted around the house with grey roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.48
Vegetation 28.54
Markers & Obstacles 7.59
Artificial Surface behind left Vegetation
Markers & Obstacles front right Vegetation
",there are many tall trees planted around the villa .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.79
",in the middle of the forest there is a grey roof house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 68.29
Vegetation 25.90
Artificial Surface to the left of Vegetation
",a large number of trees are planted on both sides of the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.78
Vegetation 5.14
Artificial Surface behind Vegetation
",the house is surrounded by trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.39
Vegetation 10.35
Markers & Obstacles 5.19
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",there is a house in the middle of the wood .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.24
",there is a swimming pool behind the grey roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.55
Vegetation 38.30
Artificial Surface to the left of Vegetation
",a brown roofed house was built on the edge of the woods .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.70
",many plants are planted around the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.26
Vegetation 11.30
Artificial Surface behind Vegetation
",many tall trees were planted around the house with a brown roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.59
",it is a smart grey houses with a airplane shaped lawn besides it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 52.82
Water 11.83
Vegetation 33.73
Artificial Surface behind Vegetation
Water front right Vegetation
",a large number of tall trees were planted on both sides of the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.46
Natural Surface 5.94
Water 6.40
Vegetation 48.50
Artificial Surface to the left of Vegetation
Natural Surface behind left Artificial Surface
Water behind right Natural Surface
",there is a house and a swimming pool located in a lawn near the forest  with a aircraft parked on the lawn .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.59
",the small house of green roof is under trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.09
Vegetation 31.50
Artificial Surface on Vegetation
",there is a swimming pool behind the brown house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.62
",a white car is parked in front of the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.31
",only a few houses are in the sparse residential area .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.62
",a red building surrounded by green trees is near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.44
",there is a swimming pool behind the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.33
",an outdoor pool is located next to the brown roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.19
",near a farmland  a house with a pithed orange roof and a swimming pool is located on a lawn with s coconut grove .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.93
Vegetation 10.63
Markers & Obstacles 6.46
Artificial Surface front right Markers & Obstacles
Vegetation front right Artificial Surface
",the house close to which is a swimming pool is surrounded by trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.26
Vegetation 5.39
Artificial Surface behind Vegetation
",rows of palm trees surrounded this smart house and its swimming pool next to this green bush .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.30
Vegetation 11.56
Artificial Surface behind left Vegetation
",this house with grey roofs sits in the middle of this wood .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.49
",the house with a swimming near it is on the grassland .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.84
",rows of trees are planted around the house with a yellow roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.65
",there is a swimming pool behind the house .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.05
",two yellow roofs were built beside the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.82
Vegetation 6.60
Artificial Surface behind left Vegetation
",the house surrounded by trees is next to a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.68
",the house is surrounded by a large green lawn .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.18
",we can see that a river  a grassland  a piece of trees and a road is around the house with a swimming pool .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.16
Building 6.69
Artificial Surface front right Building
",this house is surrounded by rows of palm trees a sparse bush on its behind .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.98
Vegetation 36.19
Artificial Surface on Vegetation
",in front of the house there is a blue circular swimming .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.82
Vegetation 13.63
Artificial Surface behind left Vegetation
",there are cars stopping around the house near which there two pieces of rectangular farmland .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.92
Vegetation 13.37
Artificial Surface front left Vegetation
",the house of gray roof is surrounded by tall trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.97
",there is a house with a brown roof behind the house of yellow roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.16
Vegetation 8.71
Artificial Surface behind right Vegetation
",among forest  four houses with three swimming pools built on the coast .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.71
",this house and its swimming pool are surrounded with several trees next to a dirt road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.58
",the house with khaki roof is on the side of the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.20
",a square is near a building and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.73
Vegetation 29.10
Artificial Surface behind left Vegetation
",a square with many green trees in four corners is between two parallel roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.39
Markers & Obstacles 6.21
Artificial Surface behind left Markers & Obstacles
",the square is very big .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.64
",a fountain is located in the center of the square while it is connected with dense woods at the corners by footpaths .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.44
",two buildings and some green trees are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.98
",several buildings are near a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.94
",many green trees are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.63
",a square is between an ocean and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.80
Vegetation 6.27
Artificial Surface front right Vegetation
",this semicircular square is marked with white lines .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.83
","the rectangular square is made up of four circles and an oval, integrated with some plants .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.50
Vegetation 16.29
Artificial Surface behind right Vegetation
",a large square is near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.72
",some green trees are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.73
Vegetation 9.56
Artificial Surface on Vegetation
",two rows of green trees are in two sides of a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.24
Vegetation 6.03
Artificial Surface behind right Vegetation
",many buildings are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.84
",the square is surrounded by the roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.49
",the square is not finished .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.41
",some green trees in a square is between many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.49
",many buildings and some green trees are near a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.44
Building 15.29
Artificial Surface front left Building
",a square is surrounded by roads and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.30
",many orderly green trees are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.06
","it is a circular square, surrounded by four roads to differnet directions .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.47
",a circle square is surrounded by green trees and roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.28
",many green trees and buildings are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.76
",many orderly green trees are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 71.35
Vegetation 23.16
Artificial Surface behind Vegetation
",a circle square is surrounded by green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.51
Water 11.41
Artificial Surface front left Water
",many buildings are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.00
Vegetation 5.59
Artificial Surface to the right of Vegetation
",many buildings are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.85
",many green trees and several buildings are near a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.64
Vegetation 5.49
Artificial Surface to the left of Vegetation
",many green trees and a tower are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.47
",several buildings and some green trees are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.79
Water 13.00
Vegetation 19.84
Artificial Surface behind right Vegetation
Water behind left Artificial Surface
",there are many rectangular blocks in the square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.31
",a square is surrounded by roads and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.32
",many green trees are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.09
Building 26.95
Artificial Surface behind right Building
",many green trees are around a square with green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.57
",some green trees are around a square near some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.04
",some green plants are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.66
",many green trees are around a square with a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.31
",several buildings are in a square with green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.94
",many buildings are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.85
",a square with green plants are near several parallel roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.70
Vegetation 15.33
Artificial Surface to the right of Vegetation
",many buildings are around an oval square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.73
",many green trees are around s square square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.47
Vegetation 22.82
Artificial Surface to the right of Vegetation
",some buildings are near a square with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.39
",some sparse green trees are around a square near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.34
",many buildings and some green trees are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.16
",many green trees are around a square with many people .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.80
",a large square with many green trees are near three roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.12
",a square is near several buildings and a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.69
",several buildings are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.05
",a circle square is near several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.23
",some buildings and green trees are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.34
",several buildings are around a square with some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.09
Vegetation 10.37
Artificial Surface on Vegetation
",many green trees are in a square near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.00
Vegetation 8.50
Artificial Surface behind left Vegetation
",several buildings are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.16
Vegetation 8.91
Artificial Surface behind Vegetation
",some green plants are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.81
",many green trees are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.44
Vegetation 5.96
Artificial Surface front right Vegetation
",many green trees are orderly in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.21
",two parking lots are in two sides of a stadium .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.57
",several buildings are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.61
",many bareland are around a square with green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.11
",some cars are near a square and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.09
",some buildings and several green trees are around a triangular square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.38
",some green trees and roads are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.46
",several buildings and some green trees are around a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.58
Vegetation 22.90
Artificial Surface behind Vegetation
",some buildings are around a square with some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.13
Vegetation 8.02
Artificial Surface to the right of Vegetation
",some green trees are near a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.64
",several buildings are around a square with some green trees and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.02
",a square with green meadows are near some green trees and a building and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.93
",several buildings and two roads are around a square with some green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.02
Vegetation 6.28
Artificial Surface behind right Vegetation
",several buildings are near a square surrounded by many bareland .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.44
Vegetation 11.55
Artificial Surface behind left Vegetation
",two roads and a piece of green meadow are near a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.72
Vegetation 7.69
Artificial Surface to the left of Vegetation
",some buildings are near a square with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.22
",many green trees are around a semi-circle square near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.93
Building 5.98
Artificial Surface behind right Building
",some green trees and meadows are around a semi-circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.76
",a lot of buildings were interspersed with a few trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 70.25
Water 7.18
Vegetation 21.77
Artificial Surface behind Vegetation
Water front right Vegetation
",roads and trees are arranged in a rectangle .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.81
Vegetation 10.09
Artificial Surface front left Vegetation
",many green trees are in a square square with a circle center .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.05
Vegetation 6.15
Artificial Surface on Vegetation
",many green trees and a building are near two squares .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.19
",there are many vehicles on the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.19
Vegetation 22.90
Artificial Surface to the right of Vegetation
",many cars are running on a circle road around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.06
Vegetation 17.60
Artificial Surface behind right Vegetation
",several buildings and green trees are near a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.30
",many green trees are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.87
",the arrangement of buildings is like a scene in a game .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.68
",in the middle of the picture is the lawn around the building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.16
Vegetation 10.07
Artificial Surface to the right of Vegetation
",lots of white building in the picture .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.20
Water 9.54
Vegetation 22.13
Artificial Surface behind right Vegetation
Water front right Vegetation
",three roads and several buildings are near a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.18
",the bottom of the center of the building is a polygon .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.40
Markers & Obstacles 6.80
Artificial Surface front left Markers & Obstacles
",four buildings lined with orange trees marshalling .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.06
Vegetation 8.29
Artificial Surface to the right of Vegetation
",many sparse green plants and small roads are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.04
",many green trees and people are in a square near a road with cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 53.78
Vegetation 36.92
Artificial Surface to the left of Vegetation
",many green trees are around a circle square with some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.75
Vegetation 5.98
Artificial Surface to the right of Vegetation
",the woods are surrounded by a polygon .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.23
",many green trees are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.38
Vegetation 20.67
Artificial Surface behind left Vegetation
",some buildings are around a square with many sparse green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.09
",a square is near a river with some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.27
Water 11.19
Artificial Surface front left Water
",several buildings are around a square with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.86
Markers & Obstacles 13.02
Artificial Surface behind right Markers & Obstacles
",many buildings and several green trees are around an oval square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.36
Markers & Obstacles 7.29
Artificial Surface behind left Markers & Obstacles
",some buildings are around a square with green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.82
",some green trees are in a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.67
",an oval square with several buildings in it is surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.68
Markers & Obstacles 5.07
Artificial Surface front left Markers & Obstacles
",the rectangle square with some rows of lawns is in the middle of the raods .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.33
",four buildings and some cars are near a rectangular square surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.59
Vegetation 9.77
Artificial Surface behind right Vegetation
",many buildings are around an oval square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.53
Vegetation 6.00
Artificial Surface front right Vegetation
",trees are scattered sparsely on the meadow in this square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.30
Vehicles 8.90
Artificial Surface behind right Vehicles
",the quadrilateral square is like a plane .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.07
",some buildings are near a semi-circle shaped square with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.68
",next to a road  there is a semicircular square surrounded by some red flats .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.30
","there are many buildings, roads, cars, trees and grassland .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.58
","the viaduct is grey, the grass is green and some big red house .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.09
Vegetation 9.78
Artificial Surface behind left Vegetation
",there is a traffic circle in the middle of this square which is surrounded by buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.51
",among trees is a symmetrical square including some lawns with yellow edge and a oval garden .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.31
","they are red buildings, gray roads, many color cars, green trees and grassland .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.83
",near the square  there is a rectangle lawn with rows of trees around .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.32
Vegetation 8.93
Artificial Surface behind Vegetation
","an almost rectangular square is near many green trees, three basketball fields and three tennis courts .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.34
Building 9.59
Artificial Surface behind left Building
",the round square is at the bank .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 61.61
Building 38.35
Artificial Surface behind left Building
",this an oval public square with some trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 63.87
Vegetation 30.92
Artificial Surface behind right Vegetation
","it is cream-colored, dark green, kelly, green and brown .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.57
",several roads are connected to a circle square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.33
",it is a long beautiful square surrounded by lush green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.62
",many green trees are in two sides of a rectangular square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.43
Vegetation 8.43
Artificial Surface behind Vegetation
","it is cream-colored land, gray road, green trees and grassland .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 39.70
Water 5.11
Vegetation 54.13
Artificial Surface behind left Vegetation
Water behind right Vegetation
",here lies a aesthetic square surrounded by light blue buildings and rows of trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.31
Markers & Obstacles 6.68
Artificial Surface front right Markers & Obstacles
",there is a stretch of railway close to the round square covered by pink bricks .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.71
","they are red and gray buildings, gray roads, green trees and grassland .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.93
",a square is surrounded by many green trees near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.59
",an oval square includes some trapezoid gardens with trees around .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.21
",a lecotropal square with radial trees around contains a flower bed in the shape of question mark .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.54
Vegetation 6.77
Artificial Surface behind left Vegetation
",this a public square with some trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.16
",this is a hexagonal square surrounded by bald meadows and round paths .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.21
Vegetation 7.27
Artificial Surface on Vegetation
",among forest  there is a circle square with some round paths .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.94
",some buildings are in two sides of an rectangular square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.36
Vegetation 5.05
Artificial Surface behind right Vegetation
",half of the round square is forest and another half is bare parterres .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.96
",several large buildings are around a rectangular square with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.30
Markers & Obstacles 11.28
Artificial Surface behind left Markers & Obstacles
",several long buildings are around a square with many green trees scattered .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.69
",many green trees in regular shape are around a square with many people .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.91
Building 6.65
Artificial Surface behind right Building
",some green trees are around a square square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.49
Building 21.36
Artificial Surface behind left Building
",some buildings and green trees are around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.12
Markers & Obstacles 5.12
Artificial Surface front left Markers & Obstacles
",many green trees are scattered around a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.82
",a circle road is around a square with some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.65
",many small trees are scattered evenly in a square near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.42
",many green trees are around a fan-shaped square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.17
",several buildings are near an almost square square with green meadows and some small green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.34
",some red buildings are around a rectangle square with some green trees scattered .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.60
",many green trees shaped like circle or polygon are in a square .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.37
Water 7.25
Artificial Surface front right Water
",four roads are connected to a circle road around a square .,Write a short description of a remote sensing image with the following information.
